Date,Min Temperature (C),Max Temperature (C),Min Humidity (%),Max Humidity (%),Min Wind Speed (m/s),Max Wind Speed (m/s)
2024-06-13,27.379999999999995,33.02000000000004,63,89,1.78,4.13
2024-06-14,26.689999999999998,32.73000000000002,63,91,1.7,5.12
2024-06-15,27.03000000000003,33.56,61,90,0.61,4.03
2024-06-16,26.879999999999995,32.78000000000003,64,91,1.1,4.62
2024-06-17,27.180000000000007,33.120000000000005,58,87,1.09,4.75
2024-06-18,27.27000000000004,27.27000000000004,87,87,1.8,1.8
